Name,Sequence Name,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
unknown,NZ_CP087202,WP_010446076.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_CP087202,WP_010446076.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_CP087202,WP_010446076.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_CP087202,WP_010446076.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_CP087203,WP_265067543.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP087203,WP_265067543.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP087203,WP_265067543.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP087203,WP_265067543.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_CP087203,WP_265067543.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CP087203,WP_265067543.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CP087203,WP_265067543.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_CP087204,WP_265028381.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP087204,WP_265028381.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP087204,WP_265028381.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP087204,WP_265028381.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_CP087204,WP_265028381.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CP087204,WP_265028381.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CP087204,WP_265028381.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_CP102175,WP_265068024.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP102175,WP_265068024.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP102175,WP_265068024.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_CP102175,WP_265068024.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CP102175,WP_265068024.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CP102175,WP_265068024.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_CP102176,WP_265086150.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP102176,WP_265086150.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP102176,WP_265086150.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_CP102176,WP_265086150.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CP102176,WP_265086150.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CP102176,WP_265086150.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
disorder_prediction,NZ_CP119133,WP_234379262.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP119133,WP_234379262.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP119133,WP_234379262.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_LT629777,WP_090208450.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_LT629777,WP_090208450.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_LT629777,WP_090208450.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_LT629777,WP_090208450.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_LT629777,WP_090208450.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_LT629777,WP_090208450.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_LT629777,WP_090208450.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_LT629972,WP_019362488.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_LT629972,WP_019362488.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_LT629972,WP_019362488.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_LT629972,WP_019362488.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_LT629972,WP_019362488.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_LT629972,WP_019362488.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_LT629972,WP_019362488.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_LT707064,WP_076406911.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_LT707064,WP_076406911.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_LT707064,WP_076406911.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_LT707064,WP_076406911.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_LT707064,WP_076406911.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_LT707064,WP_076406911.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_LT707064,WP_076406911.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_CP007410,WP_025213920.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP007410,WP_025213920.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP007410,WP_025213920.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP007410,WP_025213920.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_CP007410,WP_025213920.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CP007410,WP_025213920.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CP007410,WP_025213920.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_CADEVR010000001,WP_164467636.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CADEVR010000001,WP_164467636.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CADEVR010000001,WP_164467636.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CADEVR010000001,WP_164467636.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_CADEVR010000001,WP_164467636.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CADEVR010000001,WP_164467636.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CADEVR010000001,WP_164467636.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_CADEWJ010000004,WP_186024658.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CADEWJ010000004,WP_186024658.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CADEWJ010000004,WP_186024658.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CADEWJ010000004,WP_186024658.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_CADEWJ010000004,WP_186024658.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CADEWJ010000004,WP_186024658.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CADEWJ010000004,WP_186024658.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_CP065596,WP_186059198.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP065596,WP_186059198.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP065596,WP_186059198.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP065596,WP_186059198.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_CP065596,WP_186059198.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CP065596,WP_186059198.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CP065596,WP_186059198.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_MOBR01000009,WP_123597958.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_MOBR01000009,WP_123597958.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_MOBR01000009,WP_123597958.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_MOBR01000009,WP_123597958.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_MOBR01000009,WP_123597958.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_MOBR01000009,WP_123597958.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_MOBR01000009,WP_123597958.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NC_010622,WP_012401074.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
Clavaminate synthase-like,NC_010622,WP_012401074.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CP087205,WP_236708572.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP087205,WP_236708572.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP087205,WP_236708572.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP087205,WP_236708572.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_CP087205,WP_236708572.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_CP087205,WP_236708572.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_CP087205,WP_236708572.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
cupin_RmlC-like,NZ_AP018265,WP_096560966.1,CDD,cd02208,,Unintegrated,Unintegrated,cupin_RmlC-like
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_AP018265,WP_096560966.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_AP018265,WP_096560966.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_AP018288,WP_096559395.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
Clavaminate synthase-like,NZ_AP018288,WP_096559395.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_AP018288,WP_096559395.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
unknown,NZ_AP018288,WP_096559395.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_AP018288,WP_096559395.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_AP018288,WP_096559395.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,NZ_AP018288,WP_096559395.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_AP018288,WP_096559395.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Non cytoplasmic domain,NZ_AP018288,WP_096559395.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_JH992890,WP_017307794.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JH992890,WP_017307794.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JH992890,WP_017307794.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_AP018174,WP_096576682.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
Clavaminate synthase-like,NZ_AP018174,WP_096576682.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_AP018174,WP_096576682.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_AP018174,WP_096576682.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_AP018174,WP_096576682.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_AP018174,WP_096576682.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
cupin_RmlC-like,NZ_CP021983,WP_080813639.1,CDD,cd02208,,Unintegrated,Unintegrated,cupin_RmlC-like
Cupin,NZ_CP021983,WP_080813639.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
Clavaminate synthase-like,NZ_CP021983,WP_080813639.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP021983,WP_080813639.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_CP021983,WP_080813639.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_CP021983,WP_080813639.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_CP021983,WP_080813639.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_CP022129,WP_232463731.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP022129,WP_232463731.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP022129,WP_232463731.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CP030118,WP_169263542.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
Clavaminate synthase-like,NZ_CP030118,WP_169263542.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP030118,WP_169263542.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_CP030118,WP_169263542.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_CP030118,WP_169263542.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_CP030118,WP_169263542.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_PGFZ01000004,WP_249028021.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_PGFZ01000004,WP_249028021.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_PGFZ01000004,WP_249028021.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CP040281,WP_179073362.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
Clavaminate synthase-like,NZ_CP040281,WP_179073362.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_CP040281,WP_179073362.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_CP040281,WP_179073362.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_CP040281,WP_179073362.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_CP040281,WP_179073362.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cupin,NZ_CP046904,WP_158206636.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP046904,WP_158206636.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP046904,WP_158206636.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_CP046904,WP_158206636.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,NZ_CP046904,WP_158206636.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_CP046904,WP_158206636.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cupin,NZ_JACHCF010000008,WP_183868370.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JACHCF010000008,WP_183868370.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JACHCF010000008,WP_183868370.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JACHCF010000008,WP_183868370.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_JACHCF010000008,WP_183868370.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JACHCF010000008,WP_183868370.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_JACHCF010000008,WP_183868370.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_JACHCG010000003,WP_183891570.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JACHCG010000003,WP_183891570.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JACHCG010000003,WP_183891570.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JACHCG010000003,WP_183891570.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_JACHCG010000003,WP_183891570.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JACHCG010000003,WP_183891570.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_JACHCG010000003,WP_183891570.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_KB889965,WP_020565852.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_KB889965,WP_020565852.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_KB889965,WP_020565852.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_AP022583,WP_083089918.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_AP022583,WP_083089918.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_AP022583,WP_083089918.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CP017104,WP_083635873.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP017104,WP_083635873.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP017104,WP_083635873.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
disorder_prediction,NZ_CP017104,WP_083635873.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
