Accession	Organism	TaxID	Taxonomic_Lineage
A6A29_RS39635	Not found	Not found	Not found
WP_053375805.1	  Bacillales	1385	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli
WP_068791798.1	  Brevibacillus laterosporus	1465	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus
WP_110255722.1	  Undibacterium pigrum	401470	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Undibacterium
WP_107933678.1	  Ureibacillus chungkukjangi	1202712	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Caryophanaceae; Ureibacillus
WP_232833201.1	  Paraburkholderia kururiensis	984307	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia
WP_115808507.1	  Winogradskyella pacifica	664642	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Winogradskyella
WP_090261071.1	  Roseivirga pacifica	1267423	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Roseivirgaceae; Roseivirga
WP_121151055.1	  Microbacterium sp. AG1240	2183992	
WP_147972310.1	  Streptomyces sp. col6	2478958	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces
WP_266086108.1	  Halorutilus salinus	2487751	
WP_128430379.1	  Streptomyces cyaneus	1904	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces
WP_246130594.1	  Nitrospirillum amazonense	28077	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Azospirillaceae; Nitrospirillum
WP_150086317.1	  Adhaeribacter rhizoryzae	2607907	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Adhaeribacter
WP_252936505.1	  Roseivirga pacifica	1267423	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Roseivirgaceae; Roseivirga
WP_153754364.1	  Kriegella sp. EG-1	2664451	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae
WP_161478968.1	  Herbidospora solisilvae	2696284	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Herbidospora
